แล้ว	lɛ́ːw
ระดับ	ráʔ dàp
เรื่องราว	rɯ̂ːaŋ raːw
รอบ	rɔ̂ːp
อภิปราย	ʔà pʰíʔ praːj
เงื่อนไข	ŋɯ̂ːan kʰǎj
การเจริญเติบโต	kaːn tɕà rɤːn tɤ̀ːp toː
สำคัญ	sǎm kʰan
รัก	rák
ขอบคุณ	kʰɔ̀ːp kʰun
แม่ค้า	mɛ̂ː kʰáː
ต้องการ	tɔ̂ŋ kaːn
สำเร็จ	sǎm rèt
ชักนำ	tɕʰák nam
มหาวิทยาลัย	má hǎː wít tʰá jaː laj
เพลิง	pʰlɤːŋ
เปลี่ยน	plìːan
สถานี	sà tʰǎː niː
มือ	mɯː
ที่รัก	tʰîː rák
ผู้ป่วย	pʰûː pùaj
ฐานทัพ	tʰǎːn tʰáp
การพูด	kaːn pʰûːt
รายงาน	raːj ŋaːn
เว็บไซต์	wép saj
ราคา	raː kʰaː
โดยตรง	doːj troŋ
ซื้อ	sɯ́ː
กว้าง	kwâːŋ
จัด	tɕàt
กฎหมาย	kòt mǎːj
รัฐ	rát
คาด	kʰâːt
โพสต์	pʰôːt
เลิศ	lɤ̂ːt
ตัวเลือก	tuːa lɯ̂ːak
ศตวรรษ	sà tà wát
โบสถ์	bòːt
สามี	sǎː miː
ธรรมชาติ	tʰam má tɕʰâːt
ทหาร	tʰá hǎːn
วิธี	wíʔ tʰiː
รายวัน	raːj wan
สวรรค์	sà wǎn
จำเป็น	tɕam pen
แข่ง	kʰɛ̀ŋ
พิจารณา	pʰíʔ tɕaː rá naː
สัมพันธ์	sǎm pʰan
เสิร์ฟ	sɤ̀ːf
เป้าหมาย	pâw mǎːj
หลาย	lǎːj
ฟีเจอร์	fiː tɕɤː
เกิดขึ้น	kɤ̀ːt kʰɯ̂n
ปลอดภัย	plɔ̀ːt pʰaj
ความหลากหลาย	kʰwaːm làːk lǎːj
จะ	tɕàʔ
ข้อความ	kʰɔ̂ː kʰwaːm
แมตช์	mɛ̂ːt
จำกัด	tɕam kàt
ทางการ	tʰaːŋ kaːn
น่ารัก	nâː rák
สถานการณ์	sà tʰǎːn ná kaːn
รู้สึก	rúː sɯ̀k
คลิก	kʰlík
ผิว	pʰǐw
โครงการ	kʰroːŋ kaːn
พื้น	pʰɯ́ːn
ลูกสาว	lûːk sǎːw
ยิง	jiŋ
เรียกร้อง	rîːak rɔ́ːŋ
ความแตกต่าง	kʰwaːm tɛ̀ːk tàːŋ
เขียว	kʰǐːaw
แผน	pʰɛ̌ːn
หน้า	nâː
เซ็น	sen
ใช้	tɕʰáj
ชั่วโมง	tɕʰûːa moːŋ
เข้าหา	kʰâw hǎː
ต่อ	tɔ̀ː
หุ้น	hûn
จำนวนมาก	tɕam nuːan mâːk
มุมมอง	mum mɔːŋ
ของใคร	kʰɔ̌ːŋ kʰraj
พัฒนา	pʰát tʰá naː
พัก	pʰák
อนุญาต	ʔà núʔ jâːt
ตัวละคร	tuːa láʔ kʰɔːn
ทักษะ	tʰák sàʔ
ครบ	kʰróp
แน่นอน	nɛ̂ː nɔːn
ลูกค้า	lûːk kʰáː
ครัว	kʰruːa
สาวๆ	sǎːw sǎːw
ลิงก์	liŋ
อธิบาย	ʔà tʰíʔ baːj
ภูมิภาค	pʰuː míʔ pʰâːk
โรงเรียน	roːŋ riːan
เกิดขึ้น	kɤ̀ːt kʰɯ̂n
วิเคราะห์	wíʔ kʰrɔ́ʔ
ฟิต	fít
จุดเริ่มต้น	tɕùt rɤ̂ːm tôn
โหวต	wòːt
กิน	kin
เดา	daw
ชมรม	tɕʰom rom
เลือก	lɯ̂ːak
สิ่งแวดล้อม	sìŋ wɛ̂ːt lɔ́ːm
ประกาศ	pràʔ kàːt
ดาวน์โหลด	daːw lòːt
หมายเลข	mǎːj lêːk
ย้าย	jáːj
ลำพัง	lam pʰaŋ
เลือด	lɯ̂ːat
อนุญาต	ʔà núʔ jâːt
ใช้จ่าย	tɕʰáj tɕàːj
เกือบ	kɯ̀ːap
หน้าจอ	nâː tɕɔː
งาน	ŋaːn
เอฟเฟกต์	ʔèːf fêːk
มือถือ	mɯː tʰɯ̌ː
พบ	pʰóp
แบรนด์	bɛː ron
โกลบอล	kloː bɔːn
หน่วย	nùaj
ตัวเลือก	tuːa lɯ̂ːak
จ่าย	tɕàːj
เรียง	riːaŋ
ทำให้มั่นใจ	tʰam hâj mân tɕaj
ไว	waj
ก่อนหน้านี้	kɔ̀ːn nâː níː
ทน	tʰon
องค์การ	ʔoŋ kaːn
เวที	weː tʰiː
ทันที	tʰan tʰiː
ที่เสร็จเรียบร้อย	tʰîː sà rèt rîːap rɔ́ːj
ปกติ	pà kà tìʔ
โจมตี	tɕoːm tiː
ให้	hâj
วิทยาศาสตร์	wít tʰá jaː sàːt
บางที	baːŋ tʰiː
กิจกรรม	kìt tɕà kam
ความเร็ว	kʰwaːm rew
แรง	rɛːŋ
ไปแล้ว	paj lɛ́ːw
ประธานาธิบดี	pràʔ tʰaː naː tʰíp bɔː diː
ประเภท	pràʔ pʰêːt
ปรับปรุง	pràp pruŋ
แถบ	tʰɛ̀ːp
บวก	bùːak
ปกติ	pà kà tìʔ
รายงาน	raːj ŋaːn
ขาย	kʰǎːj
โดยเฉพาะ	doːj tɕʰà pʰɔ́ʔ
บรรทัด	ban tʰát
ซื้อ	sɯ́ː
ประกัน	pràʔ kan
วัตถุประสงค์	wát tʰùʔ pràʔ sǒŋ
ดิจิตอล	dìʔ tɕìʔ tɔːn
ดั้งเดิม	dâŋ dɤːm
วัฒนธรรม	wát tʰá ná tʰam
ปวด	pùːat
ต้นทุน	tôn tʰun
เศรษฐกิจ	sèːt tʰà kìt
ที่เกี่ยวข้อง	tʰîː kìːaw kʰɔ̂ːŋ
สุนัข	sùʔ nák
ชาร์จ	tɕʰâːdʒ
เข้าถึง	kʰâw tʰɯ̌ŋ
คล่องแคล่ว	kʰlɔ̂ːŋ kʰlɛ̂ːw
ผลกระทบ	pʰǒn kràʔ tʰóp
ทีม	tʰiːm
ครอบครัว	kʰrɔ̂ːp kʰruːa
ฟุตบอล	fút bɔːn
อพาร์ทเม้น	ʔà pʰâːt mén
รายการ	raːj kaːn
ทรัพยากร	sáp pʰá jaː kɔːn
ปิด	pìt
กลาง	klaːŋ
กายภาพ	kaːj jáʔ pʰâːp
สำเร็จ	sǎm rèt
ประสิทธิผล	pràʔ sìt tʰíʔ pʰǒn
ความปลอดภัย	kʰwaːm plɔ̀ːt pʰaj
ผ่าน	pʰàːn
สารละลาย	sǎːn láʔ laːj
คาดหวัง	kʰâːt wǎŋ
ร้าน	ráːn
แฟนๆ	fɛːn fɛːn
แคมเปญ	kʰɛːm peːn
ผู้อำนวยการ	pʰûː ʔam nuaj kaːn
ที่จัดตั้งขึ้น	tʰîː tɕàt tâŋ kʰɯ̂n
อยู่	jùː
เกิน	kɤːn
เก็บ	kèp
โต	toː
เห็น	hěn
สดชื่น	sòt tɕʰɯ̂ːn
คิด	kʰít
กดดัน	kòt dan
ลึก	lɯ́k
โดยรวม	doːj ruːam
สมัคร	sà màk
กฎ	kòt
มิตร	mít
ช่วย	tɕʰûaj
เครื่องมือ	kʰrɯ̂ːaŋ mɯː
ฟังก์ชัน	faŋ tɕʰan
ทำท่า	tʰam tʰâː
เสียง	sǐːaŋ
ปริญญา	pà rin jaː
ตาม	taːm
เครื่องยนต์	kʰrɯ̂ːaŋ jon
เสนอ	sà nɤ̌ː
พื้นผิว	pʰɯ́ːn pʰǐw
สู้	sûː
การตลาด	kaːn tà làːt
อย่างแท้จริง	jàːŋ tʰɛ́ː tɕiŋ
เพิ่มขึ้น	pʰɤ̂ːm kʰɯ̂n
เข้าร่วม	kʰâw rûːam
ร้องขอ	rɔ́ːŋ kʰɔ̌ː
ผลิต	pʰàʔ lìt
ล่าง	lâːŋ
โดยตรง	doːj troŋ
ปรากฏ	praː kòt
อยู่ในรายการ	ʔà jûː naj raːj kaːn
จริงจัง	tɕiŋ tɕaŋ
แท้จริง	tʰɛ́ː tɕiŋ
คำแนะนำ	kʰam nɛ́ʔ nam
ความเสียหาย	kʰwaːm sǐːa hǎːj
กล่าวถึง	klàːw tʰɯ̌ŋ
พลัส	pʰlát
บลู	bà luː
รู้	rúː
ประโยชน์	pràʔ jòːt
ใหญ่ที่สุด	jàj tʰîː sùt
ขาย	kʰǎːj
พาหนะ	pʰaː hà náʔ
เหตุผล	hèːt pʰǒn
ความแตกต่าง	kʰwaːm tɛ̀ːk tàːŋ
มืด	mɯ̂ːt
วางแผน	waːŋ pʰɛ̌ːn
ช่วย	tɕʰûaj
น้ำมัน	nám man
เซลล์	seːn
ความคิดเห็น	kʰwaːm kʰít hěn
ความพยายาม	kʰwaːm pʰá jaː jaːm
ค้า	kʰáː
ขั้นพื้นฐาน	kʰân pʰɯ́ːn tʰǎːn
อุปกรณ์	ʔùʔ pà kɔːn
ชื่อ	tɕʰɯ̂ː
หมู่บ้าน	mùː bâːn
อินเตอร์เน็ต	ʔin tɤː nét
ร้อน	rɔ́ːn
แก่กว่า	kɛ̀ːk wâː
โดยทั่วไป	doːj tʰûːa paj
เสร็จ	sèt
กล้อง	klɔ̂ːŋ
คำแถลง	kʰam tʰà lɛ̌ːŋ
ใช่	tɕʰâj
ปรากฏ	praː kòt
รายการ	raːj kaːn
แต่งงาน	tɛ̀ŋ ŋaːn
สายพันธุ์	sǎːj pʰan
แสดง	sà dɛːŋ
เริ่ม	rɤ̂ːm
ยากจน	jâːk tɕon
เสียง	sǐːaŋ
ถนน	tʰà nǒn
อะไรก็ตาม	ʔàʔ raj kɔ̂ː taːm
ท้า	tʰáː
ความเข้าใจ	kʰwaːm kʰâw tɕaj
หน่วยความจำ	nùaj kʰwaːm tɕam
วัสดุ	wát sà dùʔ
เครื่อง	kʰrɯ̂ːaŋ
อัตรา	ʔàt raː
ยกเว้น	jók wén
มีความสุข	miː kʰwaːm sùk
ถูกฆ่าตาย	tʰùːk kʰâː taːj
แอพ	ʔɛ̀ːp
อากาศ	ʔaː kàːt
ศึกษา	sɯ̀k sǎː
มีประโยชน์	miː pràʔ jòːt
ไพ่	pʰâj
พรสวรรค์	pʰɔːn sà wǎn
แพทย์	pʰɛ̂ːt
ห้อง	hɔ̂ːŋ
ขาด	kʰàːt
เย็นๆ	jen jen
ทองคำ	tʰɔːŋ kʰam
การสร้าง	kaːn sâːŋ
ก่อน	kɔ̀ːn
ระยะทาง	ráʔ jáʔ tʰaːŋ
รับผิดชอบ	ráp pʰìt tɕʰɔ̂ːp
ก่อสร้าง	kɔ̀ː sâːŋ
อย่างที่สุด	ʔà jâːŋ tʰîː sùt
เปิด	pɤ̀ːt
เปรียบเทียบ	prìːap tʰîːap
ไปยัง	paj jaŋ
ตาย	taːj
พื้นฐาน	pʰɯ́ːn tʰǎːn
เยี่ยม	jîːam
กำแพง	kam pʰɛːŋ
หาด	hàːt
ต่อ	tɔ̀ː
รอ	rɔː
ดับเบิ้ล	dàp bɤ̂ːn
เปิด	pɤ̀ːt
การตั้งค่า	kaːn tâŋ kʰâː
เสริฟ	sɤ̀ːf
ง่ายขึ้น	ŋâːj kʰɯ̂n
ตา	taː
เจ้าของ	tɕâw kʰɔ̌ːŋ
แอพพลิเคชั่น	ʔɛ̀ːp pʰlíʔ kʰeː tɕʰân
จำเป็นต้อง	tɕam pen tɔ̂ŋ
โครงสร้าง	kʰroːŋ sâːŋ
การรับชม	kaːn ráp tɕʰom
แฟน	fɛːn
สถานภาพ	sà tʰǎː náʔ pʰâːp
ขบวนการ	kʰà buːan kaːn
หลัก	làk
หวาน	wǎːn
ผ่าน	pʰàːn
บล็อค	blɔ̀k
สังเกตุ	sǎŋ keː tùʔ
โรค	rôːk
รัฐบาลกลาง	rát tʰà baːn klaːŋ
รถ	rót
วิ่ง	wîŋ
บุคคล	bùk kʰon
พัฒนา	pʰát tʰá naː
พูล	pʰuːn
แชร์	tɕʰɛː
ใส่	sàj
เว้นเสียแต่ว่า	wén sǐːa tɛ̀ː wâː
ตรง	troŋ
สังคม	sǎŋ kʰom
ชิ้น	tɕʰín
เพลง	pʰleːŋ
ประจำปี	pràʔ tɕam piː
สัมผัส	sǎm pʰàt
สุขภาพ	sùk kʰà pʰâːp
สิ้นสุดลง	sîn sùt loŋ
เจ็ด	tɕèt
ส่วนใหญ่	sùːan jàj
ปม	pom
ขนาดใหญ่ขึ้น	kʰà nâːt jàj kʰɯ̂n
กด	kòt
พิมพ์	pʰim
วางไว้	waːŋ wáj
สภาพ	sà pʰâːp
ข้อมูล	kʰɔ̂ː muːn
อย่างแน่นอน	jàːŋ nɛ̂ː nɔːn
ขอบคุณ	kʰɔ̀ːp kʰun
รุ่น	rûn
อุ่น	ʔùn
กาแฟ	kaː fɛː
พื้นที่จัดเก็บ	pʰɯ́ːn tʰîː tɕàt kèp
มะเร็ง	máʔ reŋ
ได้เรียนรู้	dâj riːan rúː
สำเนา	sǎm naw
เซลล์	seːn
เลี่ยง	lîːaŋ
ผู้นำ	pʰûː nam
ทัวร์	tʰuːa
รายได้	raːj dâj
เดิน	dɤːn
วิดีโอ	wíʔ diː ʔoː
ปกคลุม	pòk kʰlum
ฉาก	tɕʰàːk
ปลูก	plùːk
ข้างหน้า	kʰâːŋ nâː
แฟ้ม	fɛ́ːm
นาที	naː tʰiː
ป้อน	pɔ̂ːn
จัดส่ง	tɕàt sòŋ
มากขึ้น	mâːk kʰɯ̂n
โฆษณา	kʰôːt sà naː
การหา	kaːn hǎː
ดังนั้น	daŋ nán
จดหมาย	tɕòt mǎːj
น้อง	nɔ́ːŋ
ยาว	jaːw
ถูกต้อง	tʰùːk tɔ̂ŋ
ทรงพลัง	soŋ pʰá laŋ
บรรจุ	ban tɕùʔ
พูด	pʰûːt
ชัด	tɕʰát
อำเภอ	ʔam pʰɤː
ขับขี่	kʰàp kʰìː
เอกราช	ʔèːk kà râːt
จุด	tɕùt
กีฬา	kiː laː
ชอปปิ้ง	tɕʰɔ̂ːp pîŋ
กลับ	klàp
สวน	sǔːan
ความจริง	kʰwaːm tɕiŋ
เซ็นทรัล	sen tʰran
แสดง	sà dɛːŋ
บอล	bɔːn
พื้นหลัง	pʰɯ́ːn lǎŋ
แยก	jɛ̂ːk
หญิง	jǐŋ
ลบออก	lóp ʔɔ̀ːk
ประโยชน์	pràʔ jòːt
สมบูรณ์	sǒm buːn
ยินดี	jin diː
จิตรกร	tɕìt tràʔ kɔːn
ดาว	daːw
แสดงให้เห็น	sà dɛːŋ hâj hěn
การเลือกตั้ง	kaːn lɯ̂ːak tâŋ
เป้าหมาย	pâw mǎːj
เกี่ยวกับ	kìːaw kàp
หิน	hǐn
นำเสนอ	nam sà nɤ̌ː
ทีวี	tʰiː wiː
สวน	sǔːan
อ้างอิง	ʔâːŋ ʔiŋ
นับถือ	náp tʰɯ̌ː
เหมาะสม	mɔ̀ʔ sǒm
ออกจาก	ʔɔ̀ːk tɕàːk
ดัง	daŋ
โทร	tʰoː
เงียบ	ŋîːap
บันทึก	ban tʰɯ́k
การเชื่อมต่อ	kaːn tɕʰɯ̂ːam tɔ̀ː
ผลิต	pʰàʔ lìt
แนวทาง	nɛːw tʰaːŋ
ตอน	tɔːn
เกิดขึ้น	kɤ̀ːt kʰɯ̂n
การเลือก	kaːn lɯ̂ːak
บอย	bɔːj
อัปเดต	ʔàp dèːt
ธุรกิจ	tʰúʔ rá kìt
พนักงาน	pʰá nák ŋaːn
เย็น	jen
อุปกรณ์	ʔùʔ pà kɔːn
วิทยุ	wít tʰá júʔ
เหมือง	mɯ̌ːaŋ
มิฉะนั้น	míʔ tɕʰàʔ nán
หลับ	làp
รถไฟ	rót faj
ลูกค้า	lûːk kʰáː
สุดๆ	sùt sùt
เรียลลิตี้	riːan líʔ tîː
เป้า	pâw
หัวข้อ	hǔːa kʰɔ̂ː
การเรียกร้อง	kaːn rîːak rɔ́ːŋ
เครื่องมือ	kʰrɯ̂ːaŋ mɯː
นวนิยาย	ná wá níʔ jaːj
ดังนั้น	daŋ nán
ปกป้อง	pòk pɔ̂ːŋ
ความหมาย	kʰwaːm mǎːj
คะแนน	kʰáʔ nɛːn
กฎ	kòt
เสนอ	sà nɤ̌ː
พืช	pʰɯ̂ːt
แก้ว	kɛ̂ːw
หนัก	nàk
ลบ	lóp
กลายเป็น	klaːj pen
โต้วาที	tôː waː tʰiː
งบ	ŋóp
เศรษฐกิจ	sèːt tʰà kìt
ถึงอย่างไรก็ตาม	tʰɯ̌ŋ jàːŋ raj kɔ̂ː taːm
ดูเหมือน	duː mɯ̌ːan
แห้งๆ	hɛ̂ːŋ hɛ̂ːŋ
เข้าร่วม	kʰâw rûːam
พันล้าน	pʰan láːn
ตอบ	tɔ̀ːp
สิบ	sìp
สัญญา	sǎn jaː
ความคิด	kʰwaːm kʰít
ร้านอาหาร	ráːn ʔaː hǎːn
ในท้ายที่สุด	naj tʰáːj tʰîː sùt
โค้ช	kʰóːt
ยาน	jaːn
เซ็น	sen
เลือก	lɯ̂ːak
ส่วนใหญ่	sùːan jàj
การเพิ่ม	kaːn pʰɤ̂ːm
ขั้นตอน	kʰân tɔːn
สูงสุด	sǔːŋ sùt
นักเขียน	nák kʰǐːan
วันหยุด	wan jùt
ความต้องการ	kʰwaːm tɔ̂ŋ kaːn
ซึ่งก่อให้เกิด	sɯ̂ŋ kɔ̀ː hâj kɤ̀ːt
ยังคง	jaŋ kʰoŋ
พยายาม	pʰá jaː jaːm
ดำเนินการ	dam nɤːn kaːn
แชร์	tɕʰɛː
แต่ง	tɛ̀ŋ
ผู้จัดการ	pʰûː tɕàt kaːn
ใต้	tâj
ทิศทาง	tʰít tʰaːŋ
กล่าวถึง	klàːw tʰɯ̌ŋ
ปรากฏขึ้น	praː kòt kʰɯ̂n
สุรา	sùʔ raː
ความพยายาม	kʰwaːm pʰá jaː jaːm
ต้นไม้	tôn máːj
แปด	pɛ̀ːt
การแข่งขัน	kaːn kʰɛ̀ŋ kʰǎn
เงินสด	ŋɤn sòt
ใหญ่ที่สุด	jàj tʰîː sùt
แผนที่	pʰɛ̌ːn tʰîː
ผู้นำ	pʰûː nam
มากมาย	mâːk maːj
สุดยอด	sùt jɔ̂ːt
อุ้ม	ʔûm
สปริง	sà priŋ
เหนือ	nɯ̌ːa
เสีย	sǐːa
ประชุม	pràʔ tɕʰum
ใคร	kʰraj
ช่วย	tɕʰûaj
แบงก์	bɛːŋ
ทะเล	tʰáʔ leː
อาหารเช้า	ʔaː hǎːn tɕʰáːw
ดินเนอร์	din nɤː
ยุติธรรม	jút tìʔ tʰam
ทุน	tʰun
ฤดูหนาว	rɯ́ʔ duː nǎːw
ที่มีอยู่เดิม	tʰîː miː ʔà jûː dɤːm
ปาร์ตี้	paː tîː
ความคิดสร้างสรรค์	kʰwaːm kʰíʔ dòt ráːŋ sǎn
จราจร	tɕà raː tɕɔːn
ไปทาง	paj tʰaːŋ
รักษา	rák sǎː
ขี่	kʰìː
ลด	lót
สีสัน	sǐː sǎn
ซาก	sâːk
ภาพยนตร์	pʰâːp pʰá jon
ชุด	tɕʰút
หมวดหมู่	mùːat mùː
สงสัย	sǒŋ sǎj
ยา	jaː
เนชั่น	neː tɕʰân
หมายถึง	mǎːj tʰɯ̌ŋ
ก่อนหน้านี้	kɔ̀ːn nâː níː
ลงทุน	loŋ tʰun
กองกำลัง	kɔːŋ kam laŋ
ไอซ์	ʔaj
ตื่นเต้น	tɯ̀ːn tên
